'time_ms', 'time_hour', 'time_date', 'gps_latitude', 'gps_longitude', 'button_press'
1572304074000, 16, '10/28/2019', 34.070143, -118.44472, 0
1572304074004, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074005, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074008, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074010, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074012, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074015, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074016, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074020, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074024, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074025, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074028, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074030, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074032, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074035, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074036, 16, '10/28/2019', 34.070143, -118.44472, 1
1572304074040, 16, '10/28/2019', 34.070143, -118.44472, 1
1572304074044, 16, '10/28/2019', 34.062497, -118.447253, 1
1572304074045, 16, '10/28/2019', 34.062497, -118.447253, 1
1572304074048, 16, '10/28/2019', 34.062497, -118.447253, 1
1572304074050, 16, '10/28/2019', 34.062497, -118.447253, 1
1572304074052, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074055, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074056, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074060, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074064, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074065, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074068, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074070, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074072, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074075, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074076, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074080, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074084, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074085, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074088, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074090, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074092, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074095, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074096, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074100, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074104, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074105, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074108, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074110, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074112, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074115, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074116, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074120, 16, '10/28/2019', 34.070143, -118.44472, 0
1572304074124, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074125, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074128, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074130, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074132, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074135, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074136, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074140, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074144, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074145, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074148, 16, '10/28/2019', 34.070143, -118.44472, 0
1572304074150, 16, '10/28/2019', 34.070143, -118.44472, 0
1572304074152, 16, '10/28/2019', 34.070143, -118.44472, 0
1572304074155, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074156, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074160, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074164, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074165, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074168, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074170, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074172, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074175, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074176, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074180, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074184, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074185, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074188, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074190, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074192, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074195, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074196, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074200, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074204, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074205, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074208, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074210, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074212, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074215, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074216, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074220, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074224, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074225, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074228, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074230, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074232, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074235, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074236, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074240, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074244, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074245, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074248, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074250, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074252, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074255, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074256, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074260, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074264, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074265, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074268, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074270, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074272, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074275, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074276, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074280, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074284, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074285, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074288, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074290, 16, '10/28/2019', 34.062497, -118.447253, 1
1572304074292, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074295, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074296, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074300, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074304, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074305, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074308, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074310, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074312, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074315, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074316, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074320, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074324, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074325, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074328, 16, '10/28/2019', 34.062497, -118.447253, 0
1572304074330, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074332, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074335, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074336, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074340, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074344, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074345, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074348, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074350, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074352, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074355, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074356, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074360, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074364, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074365, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074368, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074370, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074372, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074375, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074376, 16, '10/28/2019', 34.058019, -118.44622, 1
1572304074380, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074384, 16, '10/28/2019', 34.070143, -118.44472, 0
1572304074385, 16, '10/28/2019', 34.070143, -118.44472, 0
1572304074388, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074390, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074392, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074395, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074396, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074400, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074404, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074405, 16, '10/28/2019', 34.058019, -118.44622, 0
1572304074408, 16, '10/28/2019', 34.058019, -118.44622, 0
